Label,Rep1,Rep2,Rep3,Rep4,Average,stderr
161,0.288985403,0.500329338,0.244135592,0.305159862,0.334652549,0.056713773
185,0.485647116,0.646496012,0.55994593,0.519366077,0.552863783,0.034709902
267,0.459855525,0.564314096,0.532036988,0.489763579,0.511492547,0.023004927
+26,0.911620584,0.89215594,0.786176127,0.676125051,0.816519426,0.054311148
+93,0.65506818,0.834792947,0.727094261,0.634157963,0.712778338,0.045280732
GFP,0.265916098,0.036187254,0.045209881,0.076169477,0.105870678,0.054031017
1017,0.22353912,0.316507396,0.248796776,0.259731002,0.262143573,0.019641976
1032,0.263467245,0.381000365,0.237883678,0.271026755,0.288344511,0.031688833
1052,0.215463374,0.347762591,0.25104622,0.27666265,0.272733709,0.02798066
1076,0.443362663,0.551088599,0.514166917,0.513360144,0.505494581,0.022502345
1102,0.650117363,0.72522944,0.706832511,0.513760387,0.648984925,0.047824791
mcherry,1.352482332,0.049121039,0.044726497,0.043061968,0.372347959,0.326713957
50_1,0.058378625,0.108852572,0.035576817,0.043282689,0.061522676,0.016471918
50_2,0.042764391,0.037993443,0.040074847,0.038966774,0.039949864,0.001030017
50_3,0.038995563,0.042262493,0.033122296,0.049262433,0.040910696,0.003365335
VS_1,1.007743546,1.018490431,1.053481753,0.967829237,1.011886242,0.017635153
VS_2,0.950843126,0.994038594,0.996982193,1.047907265,0.997442795,0.019853616
VS_3,1.041413328,0.987470974,0.949536055,0.984263498,0.990670964,0.018969633
185r,0.243186551,0.20492227,0.275229203,0.30452742,0.256966361,0.02139715
267r,0.416816258,0.514660158,0.406336948,0.333416269,0.417807408,0.037232237
1076r,0.332623989,0.569411238,0.376939753,0.389680314,0.417163823,0.052201196
