label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
HHV-Hits_C0H677_030,1.0961113250569012,1107.0,674.0,0.917478586996098,1159,717,1.0067949560264995,0.08931636903040162
HHV-Hits_C0H677_031,1.6315338375146475,1464.0,615.0,0.9701961346944608,1685,1005,1.3008649861045543,0.3306688514100934
HHV-Hits_C0H677_032,0.9205976969956984,1591.0,1094.0,1.252962940660852,1852,908,1.0867803188282752,0.16618262183257682
HHV-Hits_C0H677_033,1.3013461302354876,1227.0,648.0,1.36948232174281,1183,535,1.3354142259891488,0.03406809575366121
HHV-Hits_C0H677_034,1.5561264348566253,1281.0,567.0,2.105891757042866,1422,386,1.8310090959497456,0.27488266109312026
HHV-Hits_C0H677_035,1.4904152240359614,1034.0,479.0,1.9283171767930456,1228,377,1.7093662004145034,0.21895097637854208
HHV-Hits_C0H677_036,1.460169400037047,1188.0,562.0,1.307977593008398,1265,597,1.3840734965227226,0.07609590351432449
HHV-Hits_F5H8Y5_010,0.6368675151655232,1117.0,935.0,0.9366949185640489,1263,771,0.7867812168647861,0.14991370169926282
HHV-Hits_F5H8Y5_014,-0.4450645712150608,2175.0,3854.0,0.3597921084478416,2449,2230,-0.04263623138360961,0.4024283398314512
HHV-Hits_F5HAZ3_007,0.98187441421747,1352.0,891.0,0.7218295853242461,1355,960,0.851851999770858,0.13002241444661194
HHV-Hits_F5HAZ3_011,1.1386953032897311,1355.0,801.0,1.272075734918032,1515,733,1.2053855191038816,0.06669021581415047
HHV-Hits_F5HB39_026,0.779432967967304,1837.0,1393.0,0.8046784329048822,1900,1271,0.7920557004360931,0.012622732468789087
HHV-Hits_F5HB81_014,0.772446695706262,1836.0,1399.0,0.4315883344464858,1796,1556,0.6020175150763739,0.17042918062988807
HHV-Hits_F5HB81_015,1.0299667032000228,1812.0,1155.0,0.8995602630388051,2010,1259,0.964763483119414,0.06520322008060886
HHV-Hits_F5HB81_037,1.0280378842093956,1526.0,974.0,0.5031398473440034,1726,1423,0.7655888657766995,0.2624490184326961
HHV-Hits_F5HB81_038,0.8826855868097961,1316.0,929.0,1.5384405642072114,1504,605,1.2105630755085037,0.32787748869870764
HHV-Hits_F5HB81_039,1.1415454413060115,878.0,518.0,1.1247444746374102,1060,568,1.133144957971711,0.008400483334300657
HHV-Hits_F5HB81_042,1.896496580173052,1127.0,394.0,1.889197366350111,1211,382,1.8928469732615816,0.003649606911470537
HHV-Hits_F5HB81_067,0.1726023214153972,1886.0,2178.0,0.6844742243696541,2257,1641,0.42853827289252566,0.2559359514771284
HHV-Hits_F5HC79_058,0.3543662778085149,607.0,618.0,0.3143882150496355,514,483,0.3343772464290752,0.019989031379439692
HHV-Hits_F5HCV3_019,0.8894965377927587,1345.0,945.0,0.5718410314824216,1627,1279,0.7306687846375901,0.15882775315516856
HHV-Hits_F5HCV3_025,1.0840711850192015,2637.0,1619.0,0.980422948711424,2830,1676,1.0322470668653128,0.051824118153888765
HHV-Hits_F5HCV3_026,0.7059936530193343,1811.0,1445.0,0.4313799725298534,1940,1681,0.5686868127745939,0.13730684024474044
HHV-Hits_F5HCV3_054,-0.6765765022110559,1132.0,2355.0,-0.5517159877747627,1156,1980,-0.6141462449929094,0.0624302572181466
HHV-Hits_F5HCV3_055,-4.28101810241785,796.0,20142.0,-4.524550041977057,959,25791,-4.402784072197454,0.12176596977960363
HHV-Hits_F5HCV3_056,-5.363123889821962,446.0,23893.0,-5.397207938343559,547,26936,-5.3801659140827605,0.017042024260798705
HHV-Hits_F5HCV3_057,-5.856180585365844,216.0,16286.0,-5.663152039972835,289,17112,-5.7596663126693395,0.09651427269650448
HHV-Hits_F5HCV3_058,-5.29884134420269,447.0,22903.0,-5.272053886623835,522,23569,-5.285447615413263,0.01339372878942724
HHV-Hits_F5HCV3_059,-5.28582742371757,148.0,7515.0,-5.092658171792717,203,8094,-5.189242797755144,0.09658462596242633
HHV-Hits_F5HCV3_060,-5.222470530669306,346.0,16814.0,-4.884699667049396,562,19400,-5.053585098859351,0.1688854318099553
HHV-Hits_F5HCV3_061,-4.733255240451618,421.0,14575.0,-4.241282336031267,665,14696,-4.487268788241442,0.2459864522101758
HHV-Hits_F5HCV3_063,-0.8529644920591383,1798.0,4227.0,-0.4448373271858956,2000,3181,-0.6489009096225169,0.20406358243662132
HHV-Hits_F5HDE4_016,0.9700884998397592,894.0,594.0,2.137599140936045,1013,269,1.5538438203879021,0.5837553205481428
HHV-Hits_F5HDE4_018,1.8333274246727824,1410.0,515.0,1.1740761263478106,1682,871,1.5037017755102964,0.3296256491624859
HHV-Hits_F5HDE4_019,1.3667512343855608,1274.0,643.0,1.7997778845153245,1463,491,1.5832645594504426,0.21651332506488183
HHV-Hits_F5HDE4_020,1.850211250474532,1482.0,535.0,1.735473815835472,1650,579,1.792842533155002,0.057368717319530076
HHV-Hits_F5HDE4_021,1.25425441989171,1468.0,801.0,1.5071564584655492,1715,705,1.3807054391786298,0.1264510192869196
HHV-Hits_F5HDE4_022,1.6682573624212325,525.0,215.0,2.516277217265294,754,154,2.0922672898432633,0.42400992742203064
HHV-Hits_F5HDE4_027,1.99483388236666,1182.0,386.0,2.318000143313321,1165,273,2.1564170128399907,0.1615831304733304
HHV-Hits_F5HDE4_028,1.8818230919907264,756.0,267.0,2.035609220301513,800,228,1.9587161561461197,0.07689306415539332
HHV-Hits_F5HDE4_029,2.0765486833830704,1037.0,320.0,1.4866996836014947,1180,492,1.7816241834922826,0.2949244998907878
HHV-Hits_F5HDE4_030,2.171075280132916,1083.0,313.0,1.7912659547097534,1407,475,1.9811706174213346,0.18990466271158135
HHV-Hits_F5HDE4_031,2.050001161856325,2068.0,650.0,2.5078845696634726,2502,514,2.278942865759899,0.22894170390357368
HHV-Hits_F5HDE4_032,1.8735319590181825,1737.0,617.0,1.314571869782235,1903,894,1.5940519144002088,0.2794800446179737
HHV-Hits_F5HDE4_033,2.25608340410886,2158.0,588.0,2.0892325662540068,2571,706,2.1726579851814334,0.08342541892742661
HHV-Hits_F5HDE4_034,2.2930920290228314,915.0,243.0,2.1829398648238745,1057,272,2.238015946923353,0.05507608209947845
HHV-Hits_F5HEU7_070,0.9616636459545362,1209.0,808.0,1.351462129588988,1426,653,1.156562887771762,0.19489924181722584
HHV-Hits_F5HF23_001,1.361102235211977,2317.0,1174.0,0.7587414627668446,2508,1732,1.0599218489894109,0.3011803862225662
HHV-Hits_F5HF23_002,1.517780123207142,781.0,355.0,0.9633353835772052,836,501,1.2405577533921734,0.2772223698149684
HHV-Hits_F5HF23_003,1.3113065486511437,1695.0,889.0,0.615846510690131,1861,1419,0.9635765296706373,0.3477300189805064
HHV-Hits_F5HF49_015,1.1495689099087558,1038.0,609.0,1.1618479179556345,1034,540,1.1557084139321951,0.006139504023439324
HHV-Hits_F5HF68_016,0.7990662335971587,1155.0,864.0,0.8795544229752514,1310,832,0.8393103282862051,0.040244094689046384
HHV-Hits_F5HFD2_035,2.0951531430079777,929.0,283.0,1.8532920797646129,1274,412,1.9742226113862953,0.12093053162168244
HHV-Hits_F5HGB6_029,0.6062802743460342,1800.0,1539.0,0.322442971041824,2136,1996,0.4643616226939291,0.14191865165210507
HHV-Hits_F5HGB6_037,1.1599868145247167,2158.0,1257.0,0.887248148458398,2338,1477,1.0236174814915573,0.1363693330331594
HHV-Hits_F5HGB6_038,0.9415764224039964,1542.0,1045.0,1.3213735549225605,1835,858,1.1314749886632784,0.18989856625928203
HHV-Hits_F5HGB6_039,0.9886086589929722,1587.0,1041.0,0.669726984502616,1876,1378,0.8291678217477941,0.1594408372451781
HHV-Hits_F5HGH5_001,1.4029253384024076,963.0,474.0,1.8822830498993552,1262,400,1.6426041941508815,0.2396788557484738
HHV-Hits_F5HGH5_002,1.285536109486798,442.0,236.0,1.1916657222452582,692,354,1.2386009158660283,0.046935193620769915
HHV-Hits_F5HGH5_003,1.4814170507496622,1285.0,599.0,0.8554470410042703,1231,795,1.1684320458769664,0.312985004872696
HHV-Hits_F5HGI9_003,0.4344323695041126,760.0,732.0,1.0153661231453412,884,511,0.7248992463247269,0.2904668768206143
HHV-Hits_F5HGP1_021,1.2665228851497023,1353.0,732.0,1.0058618769074616,1600,931,1.1361923810285819,0.13033050412112035
HHV-Hits_F5HGP1_036,1.0761023740087798,1717.0,1060.0,1.2224664865101895,1987,995,1.1492844302594847,0.07318205625070483
HHV-Hits_F5HGU6_019,-0.1075172422569506,435.0,610.0,1.2972598479990751,713,339,0.5948713028710623,0.7023885451280129
HHV-Hits_F5HGU6_020,0.3232301000088686,719.0,748.0,0.9004345236127023,885,554,0.6118323118107855,0.2886022118019168
HHV-Hits_F5HIC6_020,-4.149967970029067,796.0,18393.0,-4.017880715959959,1084,20519,-4.0839243429945125,0.06604362703455413
HHV-Hits_F5HIC6_021,0.3710285226551916,311.0,313.0,-0.2453399771141571,322,446,0.06284427277051725,0.30818424988467435
HHV-Hits_F5HIC6_022,-0.6242530590233065,159.0,319.0,0.9497832034609472,162,98,0.16276507221882036,0.7870181312421269
HHV-Hits_F5HIC6_023,-0.6197234005427926,207.0,414.0,-0.0278989873246209,230,274,-0.3238111939337068,0.2959122066090859
HHV-Hits_F5HIC6_024,0.0974337125432332,217.0,264.0,-0.0236160084618645,229,272,0.03690885204068435,0.06052486050254884
HHV-Hits_F5HIC6_025,0.3226891079042636,221.0,230.0,0.574051876001,265,208,0.4483704919526318,0.12568138404836823
HHV-Hits_F5HIC6_026,-2.6572860124575124,526.0,4319.0,-2.793923198177068,608,4927,-2.72560460531729,0.06831859285977782
HHV-Hits_F5HIC6_027,-2.722147657784544,1264.0,10856.0,-2.4660119153132247,1616,10433,-2.5940797865488845,0.12806787123565955
HHV-Hits_F5HIC6_028,0.9298337640471648,644.0,440.0,0.5228810335337926,755,614,0.7263573987904787,0.2034763652566861
HHV-Hits_F5HIM6_014,1.1057894994871624,711.0,430.0,1.2946419802003846,739,352,1.2002157398437734,0.09442624035661107
HHV-Hits_P01876_012,1.2397334426661089,3362.0,1853.0,1.1975223734430995,3478,1772,1.218627908054604,0.021105534611504658
HHV-Hits_P01876_013,1.3381071452132676,1416.0,729.0,1.3010127336634028,1668,791,1.319559939438335,0.018547205774932407
HHV-Hits_P03169_001,-0.1941635822424413,1055.0,1571.0,0.127158693881905,1173,1255,-0.03350244418026814,0.16066113806217314
HHV-Hits_P03169_002,-2.630195731445347,652.0,5254.0,-2.2393531655831618,918,5065,-2.434774448514254,0.1954212829310926
HHV-Hits_P03169_041,1.1498468590553412,358.0,210.0,1.2361082311849851,379,188,1.1929775451201632,0.043130686064821955
HHV-Hits_P03169_042,0.8801224865404126,362.0,256.0,1.0198232528030329,472,272,0.9499728696717227,0.06985038313131013
HHV-Hits_P03169_043,1.9336171210051387,361.0,123.0,1.147238541005924,381,201,1.5404278310055313,0.3931892899996073
HHV-Hits_P03179_006,1.7567505175121632,849.0,327.0,1.2720639493011507,835,404,1.514407233406657,0.24234328410550618
HHV-Hits_P03179_052,0.9130878181272568,2445.0,1690.0,0.8831013921611928,2557,1620,0.8980946051442248,0.014993212983032023
HHV-Hits_P03179_053,-2.224831449501799,1446.0,8798.0,-1.6300041065555528,1972,7132,-1.9274177780286759,0.29741367147312303
HHV-Hits_P03179_054,-0.5406077515496995,2305.0,4364.0,-0.5300868289505147,2373,4004,-0.5353472902501071,0.0052604612995924005
HHV-Hits_P03179_055,-3.10171783277642,2059.0,23006.0,-2.9727888349547658,2661,24410,-3.0372533338655927,0.06446449891082717
HHV-Hits_P03179_056,-2.9726034346358667,1720.0,17573.0,-2.824255277641511,2132,17644,-2.898429356138689,0.07417407849717783
HHV-Hits_P03179_057,-2.216221985767027,1038.0,6278.0,-2.098616154433784,1300,6506,-2.1574190701004055,0.05880291566662165
HHV-Hits_P03179_058,-1.025344674985503,807.0,2138.0,-0.4597682437940766,1107,1779,-0.7425564593897899,0.2827882155957132
HHV-Hits_P03179_059,-0.0177709077132482,1388.0,1829.0,0.8100587243204148,1592,1061,0.3961439083035833,0.41391481601683144
HHV-Hits_P03179_122,0.8122805236863265,1283.0,951.0,0.8314187072645217,1666,1094,0.8218496154754241,0.009569091789097595
HHV-Hits_P03179_123,1.183027171731457,1877.0,1076.0,1.086387921528457,1919,1056,1.134707546629957,0.04831962510150001
HHV-Hits_P03186_071,-1.2586705854072522,1154.0,3594.0,-0.8105028973842396,1399,2867,-1.034586741395746,0.22408384401150624
HHV-Hits_P03186_099,0.8519799515648159,1402.0,1011.0,0.7118025789199405,1333,951,0.7818912652423782,0.0700886863224377
HHV-Hits_P03186_108,0.6501507507714642,592.0,491.0,0.9905877058295028,704,414,0.8203692283004835,0.17021847752901928
HHV-Hits_P03186_123,-1.8948846178158212,1160.0,5615.0,-1.3956937861315108,1504,4624,-1.645289201973666,0.24959541584215514
HHV-Hits_P03186_124,0.3167674439807329,1111.0,1161.0,0.3075677553975298,1468,1386,0.3121675996891313,0.004599844291601568
HHV-Hits_P03186_144,1.189391979379249,205.0,117.0,0.7022925212700533,259,186,0.9458422503246511,0.2435497290545978
HHV-Hits_P03186_200,0.816471573337961,2656.0,1963.0,0.8181306387351852,3140,2081,0.8173011060365731,0.0008295326986120788
HHV-Hits_P03186_201,0.2372208032782902,1391.0,1536.0,0.3170294748554599,1596,1497,0.2771251390668751,0.03990433578858485
HHV-Hits_P03186_202,0.1239743338883354,895.0,1069.0,0.9381114575498049,1015,619,0.5310428957190702,0.4070685618307347
HHV-Hits_P03186_204,0.5073635072618039,759.0,695.0,0.1122113046028313,839,907,0.30978740593231757,0.19757610132948628
HHV-Hits_P03186_205,0.4351385344917257,1072.0,1032.0,1.3984455164219294,1304,578,0.9167920254568276,0.4816534909651018
HHV-Hits_P03186_303,-0.2921988091465186,1130.0,1801.0,0.5684142069820345,1514,1193,0.13810769891775795,0.43030650806427645
HHV-Hits_P03186_304,-1.2010601264455378,1328.0,3974.0,-0.7059002990096406,1585,3021,-0.9534802127275892,0.24757991371794863
HHV-Hits_P03188_041,1.2167778671743277,1300.0,728.0,0.963947828735245,1646,986,1.0903628479547862,0.12641501921954135
HHV-Hits_P03188_056,0.8689080663110028,2614.0,1863.0,0.6025164484962815,2938,2261,0.7357122574036421,0.13319580890736066
HHV-Hits_P03189_099,0.9522158382869838,2371.0,1595.0,0.7601141263509532,2851,1967,0.8561649823189685,0.09605085596801527
HHV-Hits_P03198_031,0.7363333718832412,1989.0,1554.0,0.5316733543520084,2264,1830,0.6340033631176247,0.10233000876561642
HHV-Hits_P03198_040,1.294780379175601,475.0,252.0,1.0294194226473583,559,320,1.1620999009114796,0.13268047826412133
