label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
HHV-Hits_C0H677_030,0.3744205083290066,1137.0,1018.0,0.4368251975226253,1517,1074,0.4056228529258159,0.03120234459680934
HHV-Hits_C0H677_031,0.2319238918643512,1366.0,1350.0,0.2759014260352829,1981,1568,0.25391265894981707,0.02198876708546585
HHV-Hits_C0H677_032,0.6549367677119835,1651.0,1217.0,0.5134929095719626,2142,1438,0.584214838641973,0.07072192907001046
HHV-Hits_C0H677_033,0.7287125642066914,1048.0,734.0,0.7092811605585172,1544,905,0.7189968623826043,0.009715701824087096
HHV-Hits_C0H677_034,0.6002159713972458,1280.0,980.0,0.6844569481613145,1573,938,0.6423364597792802,0.04212048838203436
HHV-Hits_C0H677_035,1.2053715087992052,1204.0,606.0,0.4299558556490269,1365,971,0.817663682224116,0.38770782657508907
HHV-Hits_C0H677_036,0.7299824922424721,1279.0,895.0,0.3241090485337931,1467,1123,0.5270457703881326,0.20293672185433953
HHV-Hits_F5H8Y5_010,0.1729486203312887,1050.0,1081.0,0.2672689898919592,1394,1110,0.22010880511162395,0.04716018478033524
HHV-Hits_F5H8Y5_014,-0.0693825409568885,2199.0,2678.0,0.3560937667308875,2937,2199,0.1433556128869995,0.212738153843888
HHV-Hits_F5HAZ3_007,0.4899771861214655,1302.0,1076.0,0.0980017594583244,1759,1575,0.29398947278989496,0.19598771333157053
HHV-Hits_F5HAZ3_011,0.5938717238510071,1329.0,1022.0,0.3189201325464222,1834,1409,0.45639592819871466,0.13747579565229243
HHV-Hits_F5HB39_026,0.4374432158450289,1924.0,1649.0,0.3298582212567224,2387,1820,0.3836507185508756,0.05379249729415325
HHV-Hits_F5HB81_014,-0.0237433379093506,1662.0,1961.0,0.3315127936417081,2416,1840,0.15388472786617874,0.1776280657755293
HHV-Hits_F5HB81_015,0.8045953189111378,1842.0,1224.0,0.18718446714268,2464,2074,0.4958898930269089,0.3087054258842289
HHV-Hits_F5HB81_037,0.5359766254588954,1644.0,1316.0,0.1491867063905421,1907,1648,0.3425816659247187,0.19339495953417662
HHV-Hits_F5HB81_038,0.2126484748013879,1266.0,1268.0,0.4165834372834686,1663,1194,0.31461595604242826,0.10196748124104033
HHV-Hits_F5HB81_039,0.0451970323691029,817.0,919.0,0.0842851835879923,937,847,0.0647411079785476,0.019544075609444697
HHV-Hits_F5HB81_042,0.6905409200452495,1143.0,822.0,0.6063166479540684,1444,909,0.648428783999659,0.042112136045590554
HHV-Hits_F5HB81_067,0.0264025892664639,1884.0,2147.0,0.1254273429411217,2511,2206,0.07591496610379281,0.0495123768373289
HHV-Hits_F5HC79_058,-0.1563073308357614,535.0,692.0,-0.4786674949099567,647,864,-0.31748741287285903,0.16118008203709763
HHV-Hits_F5HCV3_019,0.4822548727363412,1413.0,1174.0,0.3112409237314831,1889,1459,0.39674789823391216,0.08550697450242906
HHV-Hits_F5HCV3_025,0.5472586644666607,2644.0,2100.0,0.3311667854710215,3589,2734,0.4392127249688411,0.1080459394978196
HHV-Hits_F5HCV3_026,0.1668908407272189,1595.0,1649.0,0.1082081421696152,2290,2036,0.13754949144841705,0.029341349278801852
HHV-Hits_F5HCV3_054,-0.228045271922044,1202.0,1634.0,0.1076772701460487,1492,1327,-0.06018400088799764,0.16786127103404633
HHV-Hits_F5HCV3_055,-3.159333743462423,1516.0,15720.0,-3.0274790220011973,1931,15089,-3.09340638273181,0.06592736073061278
HHV-Hits_F5HCV3_056,-4.920091588303127,660.0,23192.0,-4.316253471391279,1094,20886,-4.618172529847203,0.30191905845592437
HHV-Hits_F5HCV3_057,-4.734875303068894,456.0,14093.0,-4.198081484525847,617,10853,-4.46647839379737,0.2683969092715235
HHV-Hits_F5HCV3_058,-4.65341406859346,713.0,20826.0,-3.9832910682333065,1110,16824,-4.318352568413383,0.3350615001800769
HHV-Hits_F5HCV3_059,-4.193656661629091,315.0,6690.0,-4.062481352358296,334,5348,-4.128069006993694,0.06558765463539729
HHV-Hits_F5HCV3_060,-3.625083973389682,883.0,12645.0,-2.994453323076754,1348,10295,-3.309768648233218,0.315315325156464
HHV-Hits_F5HCV3_061,-3.043783899928723,877.0,8394.0,-2.236802929810989,1344,6071,-2.640293414869856,0.403490485058867
HHV-Hits_F5HCV3_063,-0.1214959635096617,1961.0,2476.0,0.2122049468022799,2657,2198,0.04535449164630909,0.1668504551559708
HHV-Hits_F5HDE4_016,1.0656218716683594,963.0,534.0,0.3473833952275093,1228,925,0.7065026334479343,0.359119238220425
HHV-Hits_F5HDE4_018,1.1467031332060769,1301.0,682.0,0.8603941979860196,1885,995,1.0035486655960482,0.14315446761002865
HHV-Hits_F5HDE4_019,1.0055895470014526,1332.0,770.0,0.4729643761151907,1667,1151,0.7392769615583217,0.26631258544313097
HHV-Hits_F5HDE4_020,0.8555230152064289,1216.0,780.0,0.4648654340806744,2035,1413,0.6601942246435517,0.19532879056287725
HHV-Hits_F5HDE4_021,0.8003620299272077,1523.0,1015.0,0.3080424812324154,1713,1326,0.5542022555798116,0.24615977434739614
HHV-Hits_F5HDE4_022,0.5937197941914688,511.0,393.0,0.680930209177026,808,483,0.6373250016842473,0.04360520749277857
HHV-Hits_F5HDE4_027,0.8899520145807939,1041.0,652.0,0.6590401683003146,1389,843,0.7744960914405543,0.1154559231402396
HHV-Hits_F5HDE4_028,0.6398617758575358,780.0,581.0,1.0339300657040191,1126,527,0.8368959207807775,0.19703414492324164
HHV-Hits_F5HDE4_029,1.3622391200543948,1092.0,493.0,1.1111820761285065,1765,783,1.2367105980914506,0.12552852196294417
HHV-Hits_F5HDE4_030,1.0580878633617872,1132.0,631.0,0.9678054945532129,1447,709,1.0129466789575,0.04514118440428715
HHV-Hits_F5HDE4_031,1.251029789197702,2104.0,1026.0,0.9811186523664874,3030,1471,1.1160742207820946,0.13495556841560727
HHV-Hits_F5HDE4_032,0.6734195703175243,1730.0,1259.0,0.6887154952585517,2057,1223,0.681067532788038,0.007647962470513692
HHV-Hits_F5HDE4_033,0.7215422645138692,1989.0,1400.0,0.5597948517170377,3044,1979,0.6406685581154534,0.08087370639841573
HHV-Hits_F5HDE4_034,1.2118064736682752,924.0,463.0,0.7353214755887217,1183,681,0.9735639746284985,0.2382424990397767
HHV-Hits_F5HEU7_070,0.53008689769926,1223.0,983.0,0.3815268870137404,1532,1127,0.4558068923565002,0.07428000534275979
HHV-Hits_F5HF23_001,0.5844213480606079,2297.0,1778.0,0.3340232189236887,3166,2407,0.4592222834921483,0.12519906456845958
HHV-Hits_F5HF23_002,0.9721442738174398,813.0,481.0,0.5754883980260213,1188,764,0.7738163359217305,0.19832793789570927
HHV-Hits_F5HF23_003,0.527889949654146,1805.0,1453.0,0.3057725344290666,2421,1877,0.4168312420416063,0.11105870761253972
HHV-Hits_F5HF49_015,0.4201601153885441,1003.0,870.0,0.5174604064457426,1298,869,0.4688102609171434,0.04865014552859928
HHV-Hits_F5HF68_016,0.5556198875662287,1122.0,886.0,0.1720762968413068,1633,1389,0.36384809220376774,0.19177179536246097
HHV-Hits_F5HFD2_035,0.6862315344380432,976.0,704.0,0.7087544093643593,1407,825,0.6974929719012013,0.011261437463158051
HHV-Hits_F5HGB6_029,0.3013876623605966,1891.0,1781.0,-0.2166234330117062,2597,2892,0.042382114674445207,0.2590055476861514
HHV-Hits_F5HGB6_037,0.2823502794909488,1993.0,1902.0,0.4428449728116818,2824,1991,0.3625976261513153,0.08024734666036648
HHV-Hits_F5HGB6_038,0.5277132565433474,1534.0,1235.0,0.4357701401043452,2072,1468,0.48174169832384633,0.0459715582195011
HHV-Hits_F5HGB6_039,0.5968241558315839,1578.0,1211.0,0.230303354631633,2043,1669,0.41356375523160843,0.1832604005999754
HHV-Hits_F5HGH5_001,0.5065178320288576,1000.0,817.0,0.3241422994443383,1275,976,0.4153300657365979,0.09118776629225962
HHV-Hits_F5HGH5_002,0.7022480163394462,457.0,326.0,0.9016985224494752,772,396,0.8019732693944608,0.0997252530550145
HHV-Hits_F5HGH5_003,0.6359682976166263,1284.0,959.0,0.5925899369974169,1723,1095,0.6142791173070217,0.021689180309604705
HHV-Hits_F5HGI9_003,0.1960667882611383,912.0,924.0,0.6968261698474328,1162,687,0.4464464790542856,0.2503796907931472
HHV-Hits_F5HGP1_021,-0.0036232044728423,1235.0,1437.0,0.5331696400455626,1883,1247,0.26477321778636015,0.2683964222592024
HHV-Hits_F5HGP1_036,0.3375250771218821,1743.0,1601.0,0.0678811222059709,2065,1888,0.20270309966392652,0.1348219774579556
HHV-Hits_F5HGU6_019,0.2000371896600734,482.0,487.0,0.3060699212877925,716,555,0.25305355547393293,0.05301636581385954
HHV-Hits_F5HGU6_020,0.1401580471104816,752.0,792.0,0.7236271720048509,1058,614,0.4318926095576663,0.29173456244718465
HHV-Hits_F5HIC6_020,-1.1015659844142027,1808.0,4503.0,-0.5971443209820123,2564,3717,-0.8493551526981076,0.25221083171609515
HHV-Hits_F5HIC6_021,-1.1912764568694625,389.0,1031.0,-0.6601822158911563,381,577,-0.9257293363803094,0.2655471204891531
HHV-Hits_F5HIC6_022,-1.098490779519391,136.0,338.0,-0.4147386943456669,209,267,-0.7566147369325289,0.34187604258686205
HHV-Hits_F5HIC6_023,-1.2023641354977683,240.0,641.0,-0.559580629318085,354,500,-0.8809723824079267,0.32139175308984164
HHV-Hits_F5HIC6_024,-1.3459757868749431,262.0,773.0,-0.4552747840197971,309,406,-0.9006252854473701,0.445350501427573
HHV-Hits_F5HIC6_025,-1.5964332585490488,257.0,902.0,-0.2598867765888438,339,389,-0.9281600175689463,0.6682732409801024
HHV-Hits_F5HIC6_026,-1.6912605110848182,683.0,2560.0,-0.9507177975765678,914,1693,-1.320989154330693,0.37027135675412515
HHV-Hits_F5HIC6_027,-2.21603009922202,1628.0,8779.0,-1.5445101362288904,2313,6466,-1.880270117725455,0.3357599814965647
HHV-Hits_F5HIC6_028,0.3207709031423776,622.0,578.0,0.2866686149505976,891,700,0.3037197590464876,0.017051144095890005
HHV-Hits_F5HIM6_014,0.5073348234797614,774.0,632.0,0.8387713016433391,991,531,0.6730530625615503,0.16571823908178882
HHV-Hits_P01876_012,0.710141537395204,3490.0,2476.0,0.7118688519298,4413,2582,0.711005194662502,0.0008636572672979791
HHV-Hits_P01876_013,0.1915164934891726,1406.0,1429.0,0.3612088242446489,1910,1425,0.27636265886691075,0.08484616537773813
HHV-Hits_P03169_001,0.9414085658030592,1097.0,663.0,0.4760838037395193,1360,937,0.7087461847712893,0.23266238103176995
HHV-Hits_P03169_002,-0.0914183841564533,968.0,1197.0,0.1844494994214411,1302,1098,0.0465155576324939,0.1379339417889472
HHV-Hits_P03169_041,-0.0292271245628047,282.0,334.0,0.5688414852830269,356,230,0.2698071803601111,0.2990343049229158
HHV-Hits_P03169_042,0.085532293796196,373.0,408.0,0.3456428137863176,480,362,0.2155875537912568,0.1300552599950608
HHV-Hits_P03169_043,0.4947359340970745,346.0,285.0,1.0998106753667434,454,203,0.7972733047319089,0.3025373706348344
HHV-Hits_P03179_006,0.4462513616189097,729.0,621.0,0.919457591794108,1198,607,0.6828544767065089,0.23660311508759913
HHV-Hits_P03179_052,0.8270626952668773,2626.0,1718.0,0.6071333760263801,3287,2068,0.7170980356466287,0.1099646596202486
HHV-Hits_P03179_053,-0.6952705073785832,1889.0,3550.0,-0.3148894529437402,2249,2681,-0.5050799801611617,0.19019052721742147
HHV-Hits_P03179_054,-1.610860823802209,2011.0,7129.0,-1.0518592295636011,2882,5726,-1.331360026682905,0.2795007971193039
HHV-Hits_P03179_055,-1.407827528470394,2964.0,9128.0,-1.0644959636880629,4192,8402,-1.2361617460792285,0.1716657823911656
HHV-Hits_P03179_056,-1.5810160786159828,2375.0,8247.0,-0.9698610026222652,3432,6442,-1.275438540619124,0.30557753799685883
HHV-Hits_P03179_057,-0.250805210316868,1475.0,2037.0,-0.0862476177194688,2130,2167,-0.1685264140181684,0.08227879629869958
HHV-Hits_P03179_058,-0.1006300751236076,953.0,1186.0,-0.4094966516078245,1202,1530,-0.25506336336571606,0.15443328824210842
HHV-Hits_P03179_059,0.2971469037611992,1408.0,1330.0,0.4503566849369826,1902,1334,0.3737517943490909,0.07660489058789172
HHV-Hits_P03179_122,0.0874309790582152,1407.0,1537.0,0.0876655223333767,1691,1525,0.08754825069579594,0.00011727163758074725
