label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
HHV-Hits_C0H677_030,1.8303551930918376,284,104,1.4641610518748365,280,121,1.6472581224833371,0.18309707060850056
HHV-Hits_C0H677_031,2.003607079107056,311,101,1.5790599562926009,426,170,1.7913335176998286,0.21227356140722764
HHV-Hits_C0H677_032,1.369041938468094,359,181,2.106783832309279,401,111,1.7379128853886865,0.36887094692059236
HHV-Hits_C0H677_033,1.682217326448813,276,112,1.567705988781409,271,109,1.6249616576151111,0.05725566883370191
HHV-Hits_C0H677_034,2.581745141965377,308,67,3.1474564790652497,327,44,2.8646008105153133,0.2828556685499363
HHV-Hits_C0H677_035,2.808909331364676,226,42,3.2710885157683607,251,31,3.039998923566518,0.23108959220184233
HHV-Hits_C0H677_036,2.0737241097496573,278,86,1.7118989878531286,283,103,1.8928115488013928,0.18091256094826436
HHV-Hits_F5H8Y5_010,0.8830209277783727,228,161,0.7374915215673223,344,246,0.8102562246728475,0.07276470310552519
HHV-Hits_F5H8Y5_014,-1.554358681763751,354,1354,-1.057068858198743,495,1228,-1.305713769981247,0.2486449117825039
HHV-Hits_F5HAZ3_007,1.1418601278488218,244,144,1.0620634722338638,373,213,1.1019618000413427,0.03989832780747903
HHV-Hits_F5HAZ3_011,1.1686394589644222,290,168,1.6861818177447534,278,103,1.427410638354588,0.2587711793901656
HHV-Hits_F5HB39_026,0.9501563412485672,362,244,0.5688063807984736,367,295,0.7594813610235204,0.1906749802250468
HHV-Hits_F5HB81_014,-0.0498810803204872,316,426,0.185569769562885,310,325,0.0678443446211989,0.11772542494168611
HHV-Hits_F5HB81_015,1.4869164268350712,424,197,1.2937076795221092,366,178,1.3903120531785902,0.09660437365648099
HHV-Hits_F5HB81_037,1.297146534119303,334,177,1.1672322789497895,356,189,1.2321894065345462,0.06495712758475669
HHV-Hits_F5HB81_038,1.3810477917282482,194,97,2.047992606987888,274,79,1.714520199358068,0.33347240762982
HHV-Hits_F5HB81_039,1.3677509691147902,216,109,1.8237534314596489,288,97,1.5957522002872195,0.2280012311724293
HHV-Hits_F5HB81_042,2.0133160072277607,186,60,2.78493251648464,237,41,2.3991242618562003,0.3858082546284396
HHV-Hits_F5HB81_067,0.8739497394606364,387,275,0.989804900076278,533,320,0.9318773197684571,0.057927580307820796
HHV-Hits_F5HC79_058,0.0004437895132783,106,138,0.4481193173713157,119,104,0.224281553442297,0.22383776392901866
HHV-Hits_F5HCV3_019,1.3183120363802854,270,141,1.00783104416188,339,201,1.1630715402710827,0.15524049610920265
HHV-Hits_F5HCV3_025,1.5901150486861153,467,202,1.3633657633789629,615,285,1.476740406032539,0.1133746426535762
HHV-Hits_F5HCV3_026,0.9079781710779892,402,279,0.7058680902185283,394,288,0.8069231306482587,0.10105504042973046
HHV-Hits_F5HCV3_054,-1.2574641772696424,238,741,-1.2624556431049578,222,635,-1.2599599101873,0.0024957329176577003
HHV-Hits_F5HCV3_055,-4.96663310304814,93,3787,-5.073281689805662,106,4255,-5.019957396426901,0.053324293378761205
HHV-Hits_F5HCV3_056,-5.721028855251883,65,4465,-5.36333558645466,87,4270,-5.542182220853272,0.1788466343986115
HHV-Hits_F5HCV3_057,-5.430780606908664,46,2584,-5.400030386435343,58,2920,-5.415405496672004,0.015375110236660381
HHV-Hits_F5HCV3_058,-4.949179626377601,78,3138,-4.91025139902815,88,3155,-4.929715512702876,0.019464113674725777
HHV-Hits_F5HCV3_059,-5.216738749350492,21,1017,-5.751259408853902,18,1156,-5.4839990791021975,0.2672603297517049
HHV-Hits_F5HCV3_060,-5.019670566561151,53,2239,-4.831039147992556,95,3224,-4.9253548572768535,0.09431570928429789
HHV-Hits_F5HCV3_061,-4.6201227519796895,77,2466,-4.600991627650415,92,2662,-4.610557189815053,0.009565562164637331
HHV-Hits_F5HCV3_063,-1.3619795552251597,285,954,-1.505679172789438,306,1036,-1.4338293640072988,0.0718498087821392
HHV-Hits_F5HDE4_016,2.5112465148549497,197,45,2.590776259482035,192,38,2.5510113871684923,0.03976487231354264
HHV-Hits_F5HDE4_018,2.5715097241732554,283,62,2.395097121450006,300,68,2.4833034228116304,0.08820630136162476
HHV-Hits_F5HDE4_019,1.8626995752071085,229,82,2.96581569082896,249,38,2.414257633018034,0.5515580578109256
HHV-Hits_F5HDE4_020,2.260753558010536,276,75,2.638405122439789,376,72,2.4495793402251627,0.18882578221462662
HHV-Hits_F5HDE4_021,1.8465200125228447,359,130,2.9562733693067966,345,53,2.4013966909148206,0.554876678391976
HHV-Hits_F5HDE4_022,1.83274376158594,93,34,1.920497864089268,127,40,1.876620812837604,0.04387705125166397
HHV-Hits_F5HDE4_027,3.153637295625176,205,30,2.874837558979334,283,46,3.014237427302255,0.13939986832292114
HHV-Hits_F5HDE4_028,3.56037149117281,154,17,3.0445133100664643,173,25,3.302442400619637,0.2579290905531728
HHV-Hits_F5HDE4_029,2.960773644083257,275,46,3.140453985875353,355,48,3.0506138149793047,0.0898401708960479
