label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
HHV-Hits_C0H677_030,1.1703119398951478,298,156,1.4117498632879566,224,110,1.2910309015915522,0.12071896169640439
HHV-Hits_C0H677_031,1.841914349678228,356,117,1.4016961986240335,364,180,1.6218052741511308,0.22010907552709721
HHV-Hits_C0H677_032,1.236545638295235,334,167,1.5952080203839616,370,160,1.4158768293395982,0.17933119104436335
HHV-Hits_C0H677_033,1.3455883975905247,261,121,1.7289862628505968,307,121,1.5372873302205607,0.19169893263003598
HHV-Hits_C0H677_034,2.3520228557151706,338,78,2.957541766728435,327,55,2.654782311221803,0.3027594555066322
HHV-Hits_C0H677_035,2.9342760691783414,266,41,3.366977447724384,229,29,3.150626758451363,0.21635068927302137
HHV-Hits_C0H677_036,2.0197342492220867,296,86,1.506770055716378,261,120,1.7632521524692324,0.2564820967528544
HHV-Hits_F5H8Y5_010,0.836938179585997,235,155,0.9781729603952156,291,193,0.9075555699906064,0.07061739040460929
HHV-Hits_F5H8Y5_014,-1.8042111693181648,349,1436,-1.4083410466971091,406,1408,-1.6062761080076369,0.19793506131052785
HHV-Hits_F5HAZ3_007,1.062743166564836,289,163,1.0672251363295149,340,212,1.0649841514471754,0.0022409848823394807
HHV-Hits_F5HAZ3_011,1.112366227074505,356,194,1.3123814684247923,230,121,1.2123738477496486,0.10000762067514367
HHV-Hits_F5HB39_026,0.9039702992083638,351,221,0.7612637898472184,336,259,0.8326170445277912,0.07135325468057269
HHV-Hits_F5HB81_014,-0.2423234728528447,315,439,0.0119398182026814,284,368,-0.11519182732508165,0.12713164552776304
HHV-Hits_F5HB81_015,1.3627227443723795,406,186,0.9168241474809664,289,200,1.1397734459266728,0.22294929844570652
HHV-Hits_F5HB81_037,1.3984333206721289,358,160,1.2255602260843113,281,157,1.31199677337822,0.08643654729390882
HHV-Hits_F5HB81_038,1.37404916204517,165,75,1.4265608711428976,251,122,1.4003050165940338,0.02625585454886381
HHV-Hits_F5HB81_039,1.1280989108369246,269,145,1.7286423682780208,208,82,1.4283706395574727,0.300271728720548
HHV-Hits_F5HB81_042,2.228851246505234,187,47,2.290895468413571,206,55,2.2598733574594023,0.0310221109541684
HHV-Hits_F5HB81_067,0.8178324808729929,392,262,0.7521026611192667,437,339,0.7849675709961298,0.03286490987686308
HHV-Hits_F5HC79_058,-0.4682566324319245,127,207,-0.0183945283810955,133,176,-0.24332558040651,0.22493105202541447
HHV-Hits_F5HCV3_019,1.4903022305410178,310,130,1.0551674772754795,299,188,1.2727348539082488,0.21756737663276912
HHV-Hits_F5HCV3_025,1.5541173281384613,496,199,1.3297982487809965,531,276,1.441957788459729,0.11215953967873236
HHV-Hits_F5HCV3_026,1.0543423070744855,416,236,0.6502771422482145,388,323,0.85230972466135,0.20203258241313546
HHV-Hits_F5HCV3_054,-0.4244992552567503,277,438,-0.6142453452449879,208,416,-0.5193723002508691,0.09487304499411876
HHV-Hits_F5HCV3_055,-4.648434447944611,115,3398,-4.54905464441848,116,3548,-4.598744546181546,0.049689901763065425
HHV-Hits_F5HCV3_056,-5.432845643586628,84,4275,-5.975701804318988,45,3700,-5.704273723952808,0.27142808036618016
HHV-Hits_F5HCV3_057,-5.136968261513871,57,2363,-5.471660910210163,44,2551,-5.304314585862017,0.1673463243481459
HHV-Hits_F5HCV3_058,-5.071553840985858,76,3011,-4.931084563459551,71,2830,-5.001319202222705,0.07023463876315315
HHV-Hits_F5HCV3_059,-4.652197610603024,32,948,-5.011036244603057,23,969,-4.83161692760304,0.17941931700001623
HHV-Hits_F5HCV3_060,-5.101984423929258,54,2185,-4.908982407680508,79,3101,-5.005483415804883,0.0965010081243749
HHV-Hits_F5HCV3_061,-4.508991895685651,86,2307,-4.467920702861578,81,2342,-4.488456299273615,0.020535596412036394
HHV-Hits_F5HCV3_063,-1.029300647945958,299,719,-0.9083392319356248,314,770,-0.9688199399407915,0.06048070800516663
