label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
HHV-Hits_C0H677_030,0.2639560620851656,245,188,0.7497941076335578,402,271,0.5068750848593617,0.2429190227741961
HHV-Hits_C0H677_031,0.3342188468821357,379,277,0.516989325832018,486,385,0.4256040863570768,0.09138523947494112
HHV-Hits_C0H677_032,-0.2061177730369918,302,321,-0.2169115040539891,400,527,-0.21151463854549046,0.005396865508498647
HHV-Hits_C0H677_033,0.1726331144630744,263,215,0.1115594367001451,325,341,0.14209627558160975,0.030536838881464638
HHV-Hits_C0H677_034,2.0780976308963504,582,127,2.0050112623455103,779,220,2.04155444662093,0.036543184275420026
HHV-Hits_C0H677_035,2.4087665209178204,438,76,1.717759670328612,531,183,2.063263095623216,0.3455034252946042
HHV-Hits_C0H677_036,-0.0352000168914228,197,186,0.012493926112782,315,354,-0.011353045389320398,0.023846971502102396
HHV-Hits_F5H8Y5_010,-0.3924132386200765,191,231,-0.1129540951108215,332,407,-0.25268366686544896,0.1397295717546275
HHV-Hits_F5H8Y5_014,-0.5842693735104123,291,402,-0.5846432885544762,390,663,-0.5844563310324442,0.0001869575220319608
HHV-Hits_F5HAZ3_007,-0.1620810376171048,323,333,0.0903160046908254,463,493,-0.035882516463139696,0.1261985211539651
HHV-Hits_F5HAZ3_011,-0.1280084941048501,290,292,0.133941042881931,393,406,0.0029662743885404547,0.13097476849339054
HHV-Hits_F5HB39_026,-0.8332119171077252,173,284,-1.2439938274266902,219,588,-1.0386028722672078,0.20539095515948244
HHV-Hits_F5HB81_014,-0.3417892831230607,316,369,-0.2164440397368839,410,540,-0.2791166614299723,0.06267262169308842
HHV-Hits_F5HB81_015,-0.4159978909206137,327,402,-0.4725027685804688,398,626,-0.44425032975054124,0.02825243882992756
HHV-Hits_F5HB81_037,-0.3093174284825362,254,290,-0.1591049298401769,365,462,-0.23421117916135653,0.07510624932117962
HHV-Hits_F5HB81_038,-0.1738562967617763,203,211,-0.4501406916086402,226,350,-0.31199849418520825,0.13814219742343192
HHV-Hits_F5HB81_039,-0.3180305957485195,148,170,-0.4876576731856302,190,302,-0.40284413446707484,0.08481353871855535
HHV-Hits_F5HB81_042,-0.7493111169217965,133,206,-0.3026690107044419,221,309,-0.5259900638131192,0.22332105310867728
HHV-Hits_F5HB81_067,-0.2405770317647625,316,344,-0.5443756149738315,421,696,-0.392476323369297,0.15189929160453447
HHV-Hits_F5HC79_058,-0.0999456785295079,80,79,-0.0913614780546717,130,157,-0.0956535782920898,0.004292100237418106
HHV-Hits_F5HCV3_019,-0.7144064502974515,211,319,-0.4411331371342005,269,414,-0.577769793715826,0.13663665658162552
HHV-Hits_F5HCV3_025,-0.7304887560840361,382,584,-0.4968349329830293,522,835,-0.6136618445335327,0.11682691155050338
HHV-Hits_F5HCV3_026,-0.3101408375802201,302,345,-0.3849770968672704,431,638,-0.34755896722374524,0.03741812964352514
HHV-Hits_F5HCV3_054,-1.29643026649828,114,258,-0.9159700814440884,180,385,-1.1062001739711842,0.19023009252709583
HHV-Hits_F5HCV3_055,-1.03618182745315,154,291,-1.3966915125470578,196,585,-1.216436670000104,0.1802548425469539
HHV-Hits_F5HCV3_056,-0.1863413262120399,289,303,-0.0332333475443468,425,493,-0.10978733687819334,0.07655398933384654
HHV-Hits_F5HCV3_057,0.1560819381992265,156,129,-0.4110914705904275,205,309,-0.1275047661956005,0.283586704394827
HHV-Hits_F5HCV3_058,-0.7638807186569672,209,327,-0.4005565587364186,274,410,-0.5822186386966929,0.18166207996027425
HHV-Hits_F5HCV3_059,-0.6002447203771486,63,88,-0.3519825317642012,94,136,-0.47611362607067487,0.12413109430647369
HHV-Hits_F5HCV3_060,0.138246728020018,301,252,0.2235681430020805,446,433,0.18090743551104926,0.04266070749103125
HHV-Hits_F5HCV3_061,-0.7000654833551123,161,241,-0.667902738095776,201,362,-0.6839841107254442,0.016081372629668134
HHV-Hits_F5HCV3_063,-2.120998756415178,124,497,-1.559440987456104,214,715,-1.840219871935641,0.28077888447953714
HHV-Hits_F5HDE4_016,-1.1701815363882218,68,141,-0.8784870892704308,119,248,-1.0243343128293263,0.14584722355889546
