label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
aHV_K9N4V0_001,0.12810734,1844,1822,0.119195395,1853,1734,0.123651367,0.004455972
aHV_K9N4V0_002,0.098700956,2020,2037,-0.286157061,1621,2009,-0.093728053,0.192429008
aHV_K9N4V0_003,-0.229907334,1573,1992,0.102540186,1893,1792,-0.063683574,0.16622376
aHV_K9N4V0_004,0.021969101,1622,1725,0.120733614,1656,1548,0.071351357,0.049382256
aHV_K9N643_001,0.704944259,2441,1617,0.686548287,2456,1551,0.695746273,0.009197986
aHV_K9N643_002,0.049295564,3146,3283,0.046924765,3220,3168,0.048110165,0.001185399
aHV_K9N643_003,0.013496709,13832,14797,0.076466396,13965,13461,0.044981553,0.031484843
aHV_K9N643_004,-0.070992442,1750,1985,-0.221129838,1651,1956,-0.14606114,0.075068698
aHV_K9N643_005,-0.164430748,1827,2211,-0.261907181,1893,2307,-0.213168964,0.048738216
aHV_K9N643_006,-0.096857859,1925,2223,-0.103984131,1971,2153,-0.100420995,0.003563136
aHV_K9N643_007,0.044336409,2588,2710,-0.027450519,2479,2568,0.008442945,0.035893464
aHV_K9N643_008,-0.162722594,1806,2183,-0.202702088,2033,2378,-0.182712341,0.019989747
aHV_K9N643_009,0.074162721,1750,1795,-0.056318334,1689,1785,0.008922194,0.065240527
aHV_K9N643_010,-0.159399594,2413,2910,0.006485849,2623,2654,-0.076456873,0.082942722
aHV_K9N643_011,-0.102691884,2483,2879,-0.071318638,2519,2690,-0.087005261,0.015686623
aHV_K9N643_012,-0.186209125,1763,2166,0.018635426,2100,2107,-0.08378685,0.102422276
aHV_K9N643_013,-0.084343921,1664,1905,-0.038664795,1887,1970,-0.061504358,0.022839563
aHV_K9N643_014,-0.111978062,2731,3187,-0.069943946,2662,2840,-0.090961004,0.021017058
aHV_K9N643_015,-0.080507009,2546,2907,-0.047483416,2719,2856,-0.063995212,0.016511797
aHV_K9N643_016,-0.251032665,1505,1934,-0.112994609,1835,2017,-0.182013637,0.069019028
aHV_K9N643_017,0.035315913,1955,2060,-0.130243259,1806,2009,-0.047463673,0.082779586
aHV_K9N643_018,-0.11345028,1225,1431,-0.497433245,1166,1673,-0.305441762,0.191991482
aHV_O09800_002,0.037114137,2233,2350,-0.045109739,2014,2112,-0.003997801,0.041111938
aHV_O09800_003,-0.054908773,1216,1364,-0.135943119,1190,1329,-0.095425946,0.040517173
aHV_O09802_001,0.181180971,273,260,-0.120953497,266,294,0.030113737,0.151067234
aHV_O09802_002,-0.485141975,524,792,-0.41506006,549,744,-0.450101018,0.035040958
aHV_O09802_003,-0.8405141,693,1340,-0.570363452,868,1310,-0.705438776,0.135075324
aHV_O09802_004,-0.425363968,1453,2107,-0.451803174,1543,2145,-0.438583571,0.013219603
aHV_O09802_005,-0.499825446,706,1078,-0.507232003,722,1043,-0.503528725,0.003703279
aHV_O09802_006,-0.276291242,1420,1857,-0.338143145,1457,1872,-0.307217194,0.030925951
aHV_O09802_007,-0.077842356,2026,2309,-0.215157134,2024,2388,-0.146499745,0.068657389
aHV_O09802_008,-0.121869114,2040,2397,0.072855035,2346,2267,-0.02450704,0.097362074
aHV_O09802_009,-0.139581089,2327,2768,-0.176281083,2391,2746,-0.157931086,0.018349997
aHV_O39988_001,-0.226860804,292,369,-0.048456506,274,288,-0.137658655,0.089202149
aHV_O39988_002,-0.079478628,1064,1214,-0.151307825,963,1087,-0.115393226,0.035914599
aHV_O39988_003,-0.093407661,513,591,-0.387057162,477,634,-0.240232412,0.14682475
aHV_O39988_004,-0.448913251,557,821,-0.030002847,742,770,-0.239458049,0.209455202
aHV_O39988_005,0.078577018,930,951,0.295623553,1012,838,0.187100286,0.108523268
aHV_O39988_006,-0.549515983,429,678,-0.160044913,612,695,-0.354780448,0.194735535
aHV_O39988_007,-0.020856216,2177,2385,0.029877026,2245,2235,0.004510405,0.025366621
aHV_O39988_008,0.209886058,467,436,-0.394761428,342,457,-0.092437685,0.302323743
aHV_O39988_009,-0.444521334,1229,1806,-0.211977671,1292,1521,-0.328249502,0.116271832
aHV_O39988_010,0.003720783,662,713,-0.329042774,542,692,-0.162660995,0.166381779
aHV_O39988_011,0.280716645,63,56,-0.198956009,54,63,0.040880318,0.239836327
aHV_O39988_012,-0.003790325,992,1074,-0.0368416,1125,1173,-0.020315962,0.016525638
aHV_O39988_013,-0.003642099,2447,2649,0.059262536,2854,2784,0.027810218,0.031452318
aHV_O39988_014,-0.260813579,902,1167,-0.146488589,1000,1125,-0.203651084,0.057162495
aHV_O39988_015,-0.183314584,911,1117,-0.26979625,914,1120,-0.226555417,0.043240833
aHV_O39988_016,-0.074604424,1247,1418,0.060154635,1154,1125,-0.007224895,0.06737953
aHV_O39988_017,-0.147894018,443,530,0.056288573,533,521,-0.045802723,0.102091295
aHV_O39988_018,-0.078847819,961,1096,0.083060395,988,948,0.002106288,0.080954107
aHV_O39988_019,0.035365373,1770,1865,-0.185871995,1614,1866,-0.075253311,0.110618684
aHV_O39988_020,-0.087679898,278,319,-0.065292506,268,285,-0.076486202,0.011193696
aHV_O39988_021,-0.083477177,1110,1270,0.070230624,1128,1092,-0.006623277,0.076853901
aHV_O39988_022,0.007951666,785,843,-0.266607622,732,895,-0.129327978,0.137279644
aHV_O39988_023,-0.191468162,901,1111,-0.288555019,845,1049,-0.240011591,0.048543428
aHV_O39988_024,0.162630575,425,410,-0.152031028,433,489,0.005299773,0.157330801
aHV_O39988_025,0.367428278,135,113,-1.318955785,56,142,-0.475763754,0.843192031
aHV_O39988_026,0.041194787,1214,1274,-0.136598164,1236,1381,-0.047701689,0.088896476
aHV_O39988_027,0.078891559,984,1006,-0.180692219,829,955,-0.05090033,0.129791889
aHV_O39988_028,-0.434525053,455,664,-0.128103462,623,692,-0.281314258,0.153210795
aHV_O39988_029,-0.372575662,701,980,-0.290148574,659,819,-0.331362118,0.041213544
aHV_O39988_030,-0.823078768,279,533,-0.503258433,320,461,-0.663168601,0.159910167
