label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
HHV-Hits_C0H677_030,1.202901010780932,271,116,1.1095007103943089,413,170,1.1562008605876204,0.04670015019331152
HHV-Hits_C0H677_031,0.9253697389559082,345,179,0.6129852873463164,446,259,0.7691775131511123,0.15619222580479591
HHV-Hits_C0H677_032,-0.0533996563861761,222,227,0.3883210837265839,476,323,0.1674607136702039,0.22086037005638
HHV-Hits_C0H677_033,1.1637018462213955,241,106,0.6479013697674161,404,229,0.9058016079944058,0.2579002382269897
HHV-Hits_C0H677_034,2.6537961197949325,479,75,2.028112983348916,597,130,2.340954551571924,0.3128415682230081
HHV-Hits_C0H677_035,2.0830696243693683,301,70,1.946463271493741,460,106,2.014766447931555,0.06830317643781357
HHV-Hits_C0H677_036,0.2321813215592287,180,151,0.4838436947708751,359,228,0.35801250816505187,0.1258311866058232
HHV-Hits_F5H8Y5_010,0.0102685379877396,185,181,0.1339827077735229,362,293,0.07212562288063125,0.06185708489289164
HHV-Hits_F5H8Y5_014,-0.5746594571656531,231,339,-0.4721085809202488,375,462,-0.523384019042951,0.051275438122702154
HHV-Hits_F5HAZ3_007,0.9661695030907208,343,173,0.9888542903365348,505,226,0.9775118967136278,0.011342393622907008
HHV-Hits_F5HAZ3_011,0.5663499187217671,272,181,0.718335299964867,452,244,0.6423426093433171,0.07599269062154995
HHV-Hits_F5HB39_026,-1.2564834971393986,96,226,-1.3647103227992576,188,430,-1.3105969099693282,0.054113412829929534
HHV-Hits_F5HB81_014,-0.5066938626156087,235,329,-0.0422763445424821,398,364,-0.2744851035790454,0.23220875903656327
HHV-Hits_F5HB81_015,-0.0680612469243082,273,282,-0.2430924377131621,430,452,-0.15557684231873514,0.08751559539442694
HHV-Hits_F5HB81_037,-0.1313564871570224,227,245,0.2896955915013429,395,287,0.07916955217216025,0.21052603932918262
HHV-Hits_F5HB81_038,0.2024049381176534,188,161,0.245607752198793,287,215,0.2240063451582232,0.0216014070405698
HHV-Hits_F5HB81_039,0.5594334384216296,169,113,-0.0565032032475783,275,254,0.25146511758702567,0.3079683208346039
HHV-Hits_F5HB81_042,-0.4246227296765755,124,164,-0.5084096456617128,224,283,-0.46651618766914416,0.041893457992568627
HHV-Hits_F5HB81_067,-0.488659939785347,230,318,-0.3829449680631413,392,454,-0.43580245392424416,0.05285748586110283
HHV-Hits_F5HC79_058,0.0694984284778152,82,77,-0.1480227117743933,126,124,-0.03926214164828905,0.10876057012610425
HHV-Hits_F5HCV3_019,-0.5998032670070904,150,224,-0.4943049571012018,227,284,-0.5470541120541461,0.0527491549529443
HHV-Hits_F5HCV3_025,-0.3546907691705589,350,441,-0.2941303513607187,528,575,-0.3244105602656388,0.030280208904920114
HHV-Hits_F5HCV3_026,-0.1477153706863061,262,286,-0.1171675177766309,436,420,-0.1324414442314685,0.015273926454837604
HHV-Hits_F5HCV3_054,-1.3600689488971258,68,172,-1.715426841111245,108,315,-1.5377478950041854,0.1776789461070596
HHV-Hits_F5HCV3_055,-1.438106777358196,100,267,-1.7780471947040857,152,463,-1.6080769860311408,0.16997020867294485
HHV-Hits_F5HCV3_056,-0.1853051938107652,191,214,-0.0411168547948063,383,350,-0.11321102430278576,0.07209416950797945
HHV-Hits_F5HCV3_057,-0.2530827106684408,109,128,-0.6061537848977727,179,242,-0.42961824778310675,0.17653553711466596
HHV-Hits_F5HCV3_058,-0.4551635619755266,171,231,-0.0658870128329375,327,304,-0.26052528740423203,0.1946382745712945
HHV-Hits_F5HCV3_059,0.1713780424970289,64,56,-0.4011119303337579,81,95,-0.11486694391836451,0.2862449864153934
HHV-Hits_F5HCV3_060,0.5748360228809898,260,172,-0.0662834999321628,371,345,0.2542762614744135,0.32055976140657627
HHV-Hits_F5HCV3_061,-1.014380649860127,105,209,-0.9304397320820956,192,325,-0.9724101909711114,0.04197045888901574
HHV-Hits_F5HCV3_063,-2.125217999484275,87,374,-1.599152884728141,207,557,-1.862185442106208,0.26303255737806697
HHV-Hits_F5HDE4_016,-0.8775315579839175,58,105,-1.0859897112494838,96,181,-0.9817606346167007,0.10422907663278319
HHV-Hits_F5HDE4_018,-0.4648736869209818,150,204,-0.2713337726260889,278,298,-0.36810372977353534,0.09676995714744646
HHV-Hits_F5HDE4_019,-0.4075455417427869,114,149,-0.6305379435247319,192,264,-0.5190417426337595,0.11149620089097251
HHV-Hits_F5HDE4_020,-0.4961759907016093,118,164,0.0799935327528812,313,263,-0.20809122897436405,0.2880847617272452
HHV-Hits_F5HDE4_021,-0.4498510665621584,159,214,-0.6011563950213029,239,322,-0.5255037307917306,0.07565266422957226
HHV-Hits_F5HDE4_022,-0.4054105267784269,59,77,-0.9080719190536406,75,125,-0.6567412229160338,0.25133069613760683
HHV-Hits_F5HDE4_027,0.7756410991771212,172,99,0.5293333932536575,299,184,0.6524872462153893,0.12315385296173187
HHV-Hits_F5HDE4_028,-0.2758398625309647,57,68,-0.2737919888619987,122,131,-0.2748159256964817,0.0010239368344830133
HHV-Hits_F5HDE4_029,-0.3666541031567183,122,155,-0.421757006265396,195,232,-0.3942055547110571,0.027551451554338826
HHV-Hits_F5HDE4_030,-0.6952807239836514,89,142,0.0335840947155544,189,164,-0.3308483146340485,0.3644324093496028
HHV-Hits_F5HDE4_031,-0.3615556674540687,203,257,-0.2118439502771811,419,431,-0.2866998088656249,0.07485585858844379
HHV-Hits_F5HDE4_032,-0.1139163234110415,196,209,-0.162004117780182,318,316,-0.13796022059561175,0.02404389718457025
HHV-Hits_F5HDE4_033,-0.5433695123279468,172,247,-0.5672353616162139,288,379,-0.5553024369720804,0.011932924644133534
HHV-Hits_F5HDE4_034,-0.5674102872759952,113,165,-0.2571461559541262,179,190,-0.41227822161506067,0.1551320656609345
HHV-Hits_F5HEU7_070,-1.1993199177710796,118,267,-0.2966372069712934,264,288,-0.7479785623711865,0.451341355399893
HHV-Hits_F5HF23_001,-0.1075408095873591,357,379,-0.1039921290288976,528,504,-0.10576646930812836,0.0017743402792307558
HHV-Hits_F5HF23_002,0.106488511753006,118,108,0.6253602810274336,264,152,0.3659243963902198,0.25943588463721373
HHV-Hits_F5HF23_003,0.6128951713360139,343,221,0.6402841104053263,537,306,0.6265896408706702,0.013694469534656195
HHV-Hits_F5HF49_015,0.7207964263605181,189,113,0.6150632672795416,338,196,0.6679298468200299,0.05286657954048823
HHV-Hits_F5HF68_016,0.1125887112894237,158,144,0.1035160552215708,300,248,0.10805238325549725,0.004536328033926451
HHV-Hits_F5HFD2_035,-0.0978883170482796,165,174,-0.2924126211095682,228,248,-0.19515046907892392,0.09726215203064431
HHV-Hits_F5HGB6_029,-0.5589238213881664,217,315,-0.7081921986578099,337,489,-0.6335580100229882,0.07463418863482174
HHV-Hits_F5HGB6_037,0.380473641220019,432,327,0.2572859202810978,615,457,0.3188797807505584,0.06159386046946058
HHV-Hits_F5HGB6_038,1.1035394202909137,362,166,1.0490441456623438,643,276,1.0762917829766288,0.02724763731428492
HHV-Hits_F5HGB6_039,-0.2966322431898802,233,282,-0.0959489653186949,394,374,-0.19629060425428754,0.10034163893559264
HHV-Hits_F5HGH5_001,1.7175709730536095,257,77,1.109630082679818,328,135,1.4136005278667136,0.3039704451868957
HHV-Hits_F5HGH5_002,0.4518025852048919,93,67,0.2733749522838914,132,97,0.36258876874439167,0.08921381646050025
HHV-Hits_F5HGH5_003,0.0118998284898325,44,43,-0.0011813234451222,99,88,0.005359252522355151,0.00654057596747735
HHV-Hits_F5HGI9_003,-1.0101264778401666,65,129,-0.8266607934386447,113,178,-0.9183936356394057,0.09173284220076093
HHV-Hits_F5HGP1_021,-0.6062295361665232,140,210,-0.2574666096906157,308,327,-0.4318480729285694,0.17438146323795375
HHV-Hits_F5HGP1_036,0.7869721618718486,408,233,0.8242019797878434,614,308,0.805587070829846,0.018614908957997386
HHV-Hits_F5HGU6_019,-0.9388048752533944,54,102,-1.0471176076119812,85,156,-0.9929612414326878,0.05415636617929342
HHV-Hits_F5HGU6_020,-1.6062295361665233,49,147,-1.1272900925949452,117,227,-1.3667598143807342,0.23946972178578904
HHV-Hits_F5HIC6_020,0.552872495981253,332,223,0.3062154526457521,497,357,0.42954397431350255,0.12332852166775042
HHV-Hits_F5HIC6_021,1.3006610594419956,60,24,1.494026524517705,111,35,1.3973437919798504,0.09668273253785463
HHV-Hits_F5HIC6_022,1.049122292446031,42,20,0.1430022655406284,46,37,0.5960622789933298,0.4530600134527013
HHV-Hits_F5HIC6_023,0.5636954652757892,27,18,0.6820522867832943,56,31,0.6228738760295418,0.05917841075375257
HHV-Hits_F5HIC6_024,1.911618768696096,42,11,0.4486215939943982,63,41,1.180120181345247,0.7314985873508488
HHV-Hits_F5HIC6_025,0.7770991033849826,40,23,1.6830428086491107,94,26,1.2300709560170466,0.4529718526320641
HHV-Hits_F5HIC6_026,0.095916503924972,141,130,-0.0656570263037047,227,211,0.015129738810633654,0.08078676511433835
HHV-Hits_F5HIC6_027,-0.4029763586581465,208,271,-0.3113459690166466,431,475,-0.35716116383739654,0.04581519482074997
HHV-Hits_F5HIC6_028,-1.5187666949161838,34,96,-1.710265135995466,64,186,-1.6145159154558248,0.09574922053964108
HHV-Hits_F5HIM6_014,-0.4135844582241272,96,126,-0.5076317959877551,118,149,-0.4606081271059411,0.047023668881813946
HHV-Hits_P01876_012,-0.3597175862453915,382,483,-0.5738984052051048,562,743,-0.46680799572524817,0.10709040947985665
HHV-Hits_P01876_013,0.0747347844319869,233,218,-0.0028816124349614,318,283,0.03592658599851275,0.03880819843347415
HHV-Hits_P03169_001,-2.8642458672336923,40,287,-2.534653508976536,82,422,-2.699449688105114,0.16479617912857814
HHV-Hits_P03169_002,-2.7191235925724566,43,279,-2.828825168043905,58,366,-2.773974380308181,0.05485078773572427
HHV-Hits_P03169_041,-0.5302806829332244,52,74,-0.2554985121778073,83,88,-0.39288959755551583,0.13739108537770856
HHV-Hits_P03169_042,0.1007234889332435,74,68,-0.2102769221681125,109,112,-0.0547767166174345,0.155500205550678
