label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
HHV-Hits_C0H677_030,1.022856937420345,183.0,100.0,0.7807125069965867,240,165,0.9017847222084658,0.1210722152118791
HHV-Hits_C0H677_031,0.5495626654013018,232.0,176.0,0.8940245670297697,343,218,0.7217936162155358,0.17223095081423392
HHV-Hits_C0H677_032,-0.1975090159880487,172.0,219.0,0.0963083530602322,248,274,-0.05060033146390826,0.14690868452414044
HHV-Hits_C0H677_033,0.7842309582394044,152.0,98.0,0.2550944670998553,194,192,0.5196627126696298,0.26456824556977454
HHV-Hits_C0H677_034,2.2934575539312325,234.0,53.0,1.4147761297537238,307,136,1.8541168418424783,0.43934071208875436
HHV-Hits_C0H677_035,2.025482406827168,198.0,54.0,1.9456194336722743,287,88,1.9855509202497212,0.03993148657744694
HHV-Hits_C0H677_036,0.1635042330942239,116.0,115.0,0.1541042945671923,179,190,0.15880426383070811,0.004699969263515804
HHV-Hits_F5H8Y5_010,0.3949388717971161,180.0,152.0,0.1123885784355109,216,236,0.2536637251163135,0.1412751466808026
HHV-Hits_F5H8Y5_014,-0.8937250258542575,127.0,262.0,-0.7526960827932503,202,402,-0.8232105543237539,0.07051447153050361
HHV-Hits_F5HAZ3_007,1.5234903259618249,334.0,129.0,1.0655984635377451,381,215,1.294544394749785,0.22894593121203985
HHV-Hits_F5HAZ3_011,0.6095985038626275,213.0,155.0,0.64089739890648,268,203,0.6252479513845537,0.01564944752192626
HHV-Hits_F5HB39_026,-0.9431088884535228,89.0,190.0,-0.646474074948374,172,318,-0.7947914817009484,0.14831740675257443
HHV-Hits_F5HB81_014,-0.6460732976927501,141.0,245.0,-0.4099834217537288,202,317,-0.5280283597232395,0.11804493796951064
HHV-Hits_F5HB81_015,-0.2300768784444793,172.0,224.0,-0.1564139530372996,275,362,-0.19324541574088944,0.03683146270358985
HHV-Hits_F5HB81_037,0.3995116015869402,158.0,133.0,0.0745580599159087,222,249,0.23703483075142445,0.16247677083551573
HHV-Hits_F5HB81_038,0.5839726961871331,162.0,120.0,-0.1771318458409596,161,215,0.20342042517308676,0.3805522710140463
HHV-Hits_F5HB81_039,0.3564824072110065,113.0,98.0,0.008818579527428,161,189,0.18265049336921724,0.17383191384178923
HHV-Hits_F5HB81_042,0.1744722617350158,124.0,122.0,0.2313202752468775,163,164,0.20289626849094666,0.02842400675593086
HHV-Hits_F5HB81_067,-0.4712853630831019,178.0,274.0,-0.2551811626025962,249,351,-0.36323326284284907,0.10805210024025284
HHV-Hits_F5HC79_058,0.151013288911027,73.0,73.0,-0.1383674976198461,80,104,0.006322895645590451,0.14469039326543653
HHV-Hits_F5HCV3_019,-0.5706855486018688,114.0,188.0,-0.5754313032286891,125,220,-0.5730584259152789,0.002372877313410126
HHV-Hits_F5HCV3_025,-0.4082037989735734,245.0,361.0,-0.1568416361358946,382,503,-0.282522717554734,0.12568108141883938
HHV-Hits_F5HCV3_026,0.2151436263307425,230.0,220.0,-0.1920292859589896,272,367,0.011557170185876445,0.203586456144866
HHV-Hits_F5HCV3_054,-1.6313952760163464,50.0,172.0,-1.3623058018161134,82,249,-1.4968505389162299,0.1345447371001165
HHV-Hits_F5HCV3_055,-1.520932513404769,59.0,188.0,-1.8820841337771324,82,357,-1.7015083235909507,0.1805758101861816
HHV-Hits_F5HCV3_056,-0.029558956730794,120.0,136.0,-0.3398521221939228,194,290,-0.1847055394623584,0.1551465827315644
HHV-Hits_F5HCV3_057,-0.4420770926935295,59.0,89.0,-0.7109462738851697,75,145,-0.5765116832893497,0.1344345905958201
HHV-Hits_F5HCV3_058,-0.8087976209732743,91.0,177.0,-0.8324245003167611,126,265,-0.8206110606450177,0.011813439671743364
HHV-Hits_F5HCV3_059,-1.112021116922767,30.0,72.0,-1.2792300334596955,30,86,-1.1956255751912312,0.08360445826846429
HHV-Hits_F5HCV3_060,-0.0567915962023744,142.0,164.0,-0.1245522548592124,226,291,-0.0906719255307934,0.033880329328418994
HHV-Hits_F5HCV3_061,-0.7749861296451961,90.0,171.0,-0.9804069488783967,112,261,-0.8776965392617964,0.10271040961660031
HHV-Hits_F5HCV3_063,-1.8818299677759904,76.0,311.0,-1.908039096654362,104,461,-1.8949345322151763,0.01310456443918584
HHV-Hits_F5HDE4_016,-0.6877058040559123,52.0,93.0,-0.7787149016174324,76,154,-0.7332103528366724,0.045504548780760046
HHV-Hits_F5HDE4_018,-0.8409493920235546,90.0,179.0,-0.6214091043969721,153,278,-0.7311792482102633,0.10977014381329124
HHV-Hits_F5HDE4_019,-0.8920554329808591,66.0,136.0,-1.1286377826840877,103,266,-1.0103466078324734,0.11829117485161426
HHV-Hits_F5HDE4_020,-0.9131170485086888,77.0,161.0,-0.3387181755508548,158,236,-0.6259176120297718,0.28719943647891694
HHV-Hits_F5HDE4_021,-0.5885970265107432,109.0,182.0,-0.5243022049544294,156,265,-0.5564496157325862,0.032147410778156915
HHV-Hits_F5HDE4_022,-1.0918432349851366,30.0,71.0,-1.548351769172405,33,114,-1.3200975020787706,0.22825426709363414
HHV-Hits_F5HDE4_027,0.0563764147729517,118.0,126.0,0.2237496873832152,175,177,0.14006305107808345,0.08368663630513175
HHV-Hits_F5HDE4_028,-0.9729754283644266,39.0,85.0,-0.2293411576673365,78,108,-0.6011582930158815,0.37181713534854494
HHV-Hits_F5HDE4_029,-0.5141195604941126,70.0,111.0,-0.1880928713998192,136,183,-0.3511062159469659,0.16301334454714667
HHV-Hits_F5HDE4_030,-0.2919302069377011,64.0,87.0,-0.2204080328973287,117,161,-0.2561691199175149,0.03576108702018621
HHV-Hits_F5HDE4_031,-0.7652478295385555,133.0,251.0,-0.3703187473811386,243,371,-0.567783288459847,0.19746454107870845
HHV-Hits_F5HDE4_032,0.0534967829967646,143.0,153.0,-0.1728656922979777,178,237,-0.05968445465060655,0.11318123764737113
HHV-Hits_F5HDE4_033,-0.8634862807840881,99.0,200.0,-0.4525321923875258,172,278,-0.6580092365858069,0.2054770441982811
HHV-Hits_F5HDE4_034,-0.1092224835700937,86.0,103.0,0.0144313460058246,124,145,-0.04739556878213455,0.061826914787959146
HHV-Hits_F5HEU7_070,-0.4042018684160773,98.0,144.0,-0.399680310121791,172,268,-0.4019410892689341,0.0022607791471431493
HHV-Hits_F5HF23_001,-0.5801699526611731,200.0,332.0,-0.153198302545641,335,440,-0.3666841276034071,0.21348582505776603
HHV-Hits_F5HF23_002,-0.3393123376720542,84.0,118.0,0.2308663120458728,155,156,-0.05422301281309071,0.2850893248589635
HHV-Hits_F5HF23_003,-0.1017527814689397,188.0,224.0,0.2135907065925673,323,329,0.0559189625618138,0.15767174403075349
HHV-Hits_F5HF49_015,0.5056781702103891,156.0,122.0,0.2621704319638825,198,195,0.3839243010871358,0.12175386912325328
HHV-Hits_F5HF68_016,0.1033165468797304,119.0,123.0,0.0814463796148255,172,192,0.09238146324727795,0.01093508363245245
HHV-Hits_F5HFD2_035,0.1016855765474584,115.0,119.0,-0.235589305332514,128,178,-0.06695186439252779,0.16863744093998617
HHV-Hits_F5HGB6_029,-0.7017607579057952,134.0,242.0,-0.565283347852606,214,374,-0.6335220528792006,0.06823870502659457
HHV-Hits_F5HGB6_037,0.1043871290396712,274.0,283.0,-0.0008639738699112,385,455,0.05176157758488,0.0526255514547912
HHV-Hits_F5HGB6_038,1.188246195110002,314.0,153.0,0.5912185661807626,375,294,0.8897323806453823,0.2985138144646197
HHV-Hits_F5HGB6_039,-0.2456456810529622,158.0,208.0,0.0194560105096849,242,282,-0.11309483527163865,0.13255084578132353
HHV-Hits_F5HGH5_001,1.721329013667782,196.0,66.0,0.9025111300406466,201,127,1.3119200718542143,0.4094089418135676
HHV-Hits_F5HGH5_002,1.1021036884300803,87.0,45.0,0.1645930926267067,93,98,0.6333483905283935,0.46875529790168674
HHV-Hits_F5HGH5_003,-1.481254926588486,20.0,62.0,-0.2269818847934142,68,94,-0.8541184056909501,0.6271365208975358
HHV-Hits_F5HGI9_003,-1.3214744825517168,40.0,111.0,-0.4885538525487218,70,116,-0.9050141675502194,0.4164603150014975
HHV-Hits_F5HGP1_021,-0.3597246267884023,113.0,161.0,-0.1767804831892254,191,255,-0.26825255498881384,0.09147207179958843
HHV-Hits_F5HGP1_036,0.591979253180397,262.0,193.0,0.7270476111120486,391,279,0.6595134321462228,0.0675341789658258
HHV-Hits_F5HGU6_019,-1.673415146505519,24.0,85.0,-0.9996828890385848,47,111,-1.3365490177720518,0.336866128733467
HHV-Hits_F5HGU6_020,-0.962197321536964,49.0,106.0,-0.7819948516353649,97,197,-0.8720960865861644,0.09010123495079957
HHV-Hits_F5HIC6_020,0.1752608351577041,240.0,236.0,0.2104841521136441,337,344,0.1928724936356741,0.01761165847797
HHV-Hits_F5HIC6_021,1.7359757896321832,39.0,13.0,1.9771097198000904,70,21,1.8565427547161368,0.12056696508395358
HHV-Hits_F5HIC6_022,0.4729413837983891,15.0,12.0,0.8775740462491755,42,27,0.6752577150237823,0.20231633122539314
HHV-Hits_F5HIC6_023,0.7359757896321832,27.0,18.0,0.2766700016589977,40,39,0.5063228956455905,0.22965289398659278
HHV-Hits_F5HIC6_024,0.9583682109686308,42.0,24.0,1.3363594408931867,62,29,1.1473638259309087,0.18899561496227793
HHV-Hits_F5HIC6_025,1.6953338051348372,35.0,12.0,1.5378246742745687,59,24,1.616579239704703,0.07875456543013426
HHV-Hits_F5HIC6_026,0.3075177745910175,107.0,96.0,-0.0228902801999101,130,156,0.14231374719555367,0.16520402739546378
HHV-Hits_F5HIC6_027,-0.848986711088973,137.0,274.0,-0.3273309483584313,249,369,-0.5881588297237021,0.2608278813652708
HHV-Hits_F5HIC6_028,-1.7129251615129446,25.0,91.0,-1.7598558743661166,29,116,-1.7363905179395305,0.02346535642658598
HHV-Hits_F5HIM6_014,0.0254824068271679,77.0,84.0,-0.4379277794787536,80,128,-0.20622268632579285,0.23170509315296076
HHV-Hits_P01876_012,-0.6607575993764416,233.0,409.0,-0.8128047543150753,321,666,-0.7367811768457584,0.0760235774693168
HHV-Hits_P01876_013,0.0201658094514053,158.0,173.0,-0.3113556161942319,189,277,-0.14559490337141331,0.1657607128228186
HHV-Hits_P03169_001,-2.12334912272428,37.0,179.0,-2.55894318044012,50,348,-2.3411461515822,0.21779702885792004
HHV-Hits_P03169_002,-3.401527734117752,15.0,176.0,-2.5789400890058274,35,247,-2.9902339115617895,0.41129382255596225
HHV-Hits_P03169_041,-0.0469260887008819,34.0,39.0,0.1730299297753469,63,66,0.06305192053723249,0.10997800923811439
HHV-Hits_P03169_042,0.4835886279978977,68.0,54.0,0.0572800684840732,74,84,0.27043434824098544,0.21315427975691226
HHV-Hits_P03169_043,-0.4828588122910758,29.0,45.0,-0.4968214685323224,27,45,-0.4898401404116991,0.006981328120623297
HHV-Hits_P03179_006,-0.3084183297262702,72.0,99.0,0.2698914690279358,147,144,-0.019263430349167193,0.28915489937710304
HHV-Hits_P03179_052,-0.8818299677759902,152.0,311.0,-0.912454999648146,242,538,-0.8971424837120681,0.015312515936077907
HHV-Hits_P03179_053,-0.8759537586892429,106.0,216.0,-0.8313469167370862,187,393,-0.8536503377131646,0.022303420976078344
HHV-Hits_P03179_054,0.2047238756557944,301.0,290.0,0.1258479930452741,376,407,0.16528593435053424,0.039437941305260134
HHV-Hits_P03179_055,0.3913924890845103,417.0,353.0,0.3136419382832748,604,574,0.35251721368389255,0.03887527540061775
HHV-Hits_P03179_056,0.2266477267478781,372.0,353.0,0.112764819157656,455,497,0.16970627295276705,0.05694145379511104
HHV-Hits_P03179_057,-0.8678457383402888,114.0,231.0,-0.670922145945828,184,346,-0.7693839421430584,0.09846179619723039
HHV-Hits_P03179_058,-0.2290177605399037,73.0,95.0,-0.5989196561510585,90,161,-0.41396870834548105,0.18495094780557736
