label,R1,countsOFF_R1,countsON_R1,R2,countsOFF_R2,countsON_R2,Avg,Standard Error
CoV_A0A6B9WDP7_001,-0.7175064094609983,29.0,64.0,0.5429474567512451,29.0,25.0,-0.0872794763548766,0.6302269331061217
CoV_A0A6B9WDP7_002,-0.060914231758812165,5.0,7.0,0.3288226513983973,5.0,5.0,0.13395420981979256,0.19486844157860472
CoV_A0A6B9WDP7_003,-1.275927122729663,56.0,182.0,-0.3431231509173989,59.0,94.0,-0.8095251368235309,0.466401985906132
CoV_A0A6B9WDP7_004,-0.7001831520378851,72.0,157.0,0.3817715313473567,111.0,107.0,-0.15920581034526418,0.5409773416926209
CoV_A0A6B9WDP7_005,-1.2658029054559552,22.0,71.0,0.029262369539489783,26.0,32.0,-0.6182702679582327,0.6475326374977224
CoV_A0A6B9WDP7_006,-0.30452608298314765,73.0,121.0,0.04102034041566138,77.0,94.0,-0.13175287128374313,0.17277321169940452
CoV_A0A6B9WDP7_007,-0.21291732520386195,1143.0,1778.0,0.004029222816645757,1006.0,1260.0,-0.1044440511936081,0.10847327401025385
CoV_A0A6B9WDP7_008,-0.31502694241860285,224.0,374.0,0.05076605494695073,207.0,251.0,-0.13213044373582605,0.18289649868277677
CoV_A0A6B9WDP7_009,-0.19918945653858794,1335.0,2057.0,-0.4283649027073332,1091.0,1844.0,-0.3137771796229606,0.11458772308437261
CoV_A0A6B9WDP7_010,-0.5929748313174114,41.0,83.0,-0.4347371527795219,43.0,73.0,-0.5138559920484667,0.07911883926894472
CoV_A0A6B9WDP7_011,-0.6360289465236211,35.0,73.0,0.18443274206322274,38.0,42.0,-0.22579810223019917,0.41023084429342194
CoV_A0A6B9WDP7_012,0.12660772973058362,109.0,134.0,0.22728462493633536,96.0,103.0,0.1769461773334595,0.05033844760287586
CoV_A0A6B9WDP7_013,-0.2984800562021722,83.0,137.0,0.43461731542099424,99.0,92.0,0.06806862960941101,0.3665486858115832
CoV_A0A6B9WDP7_014,-0.7129909283385053,5.0,11.0,-0.6711773486016027,5.0,10.0,-0.692084138470054,0.020906789868451292
CoV_A0A6B9WDP7_015,-0.634381093642139,12.0,25.0,0.2413598101480579,16.0,17.0,-0.19651064174704055,0.4378704518950984
CoV_A0A6B9WDP7_016,-0.19607381504044802,80.0,123.0,0.11987576112690106,77.0,89.0,-0.03809902695677348,0.15797478808367454
CoV_A0A6B9WE90_001,-1.5083732087300334,11.0,42.0,-1.4367120949645795,5.0,17.0,-1.4725426518473066,0.035830556882726954
CoV_A0A6B9WE90_002,-1.253559309701208,15.0,48.0,-0.732577893265746,23.0,48.0,-0.9930686014834771,0.26049070821773107
CoV_A0A6B9WE90_003,-0.14664410578469608,35.0,52.0,-0.08621484788044648,33.0,44.0,-0.11642947683257128,0.0302146289521248
CoV_A0A6B9WE90_004,-0.3344793050847755,13.0,22.0,-0.614593820235235,13.0,25.0,-0.47453656266000527,0.14005725757522974
CoV_A0A6B9WE90_006,-1.411988672305691,7.0,25.0,-0.5012523471592903,9.0,16.0,-0.9566205097324907,0.45536816257320023
CoV_A0A6B9WFI6_001,-1.019587369469877,43.0,117.0,0.25082013939712433,54.0,57.0,-0.3843836150363763,0.6352037544335005
CoV_A0A6B9WGW4_001,-0.4422208737251061,17.0,31.0,0.4283583249493119,15.0,14.0,-0.006931274387897091,0.435289599337209
CoV_A0A6B9WGW4_002,-1.2916944385879792,7.0,23.0,-0.5336738248516678,11.0,20.0,-0.9126841317198235,0.3790103068681556
CoV_A0A6B9WGW4_003,-0.05540388115054648,712.0,993.0,0.04893632732796063,766.0,930.0,-0.0032337769112929238,0.05217010423925355
